n_inpatient,n_outpatient,n_carrier,n_claims,n_providers,n_facilities,n_obs_years,n_ed_claims,n_pqe_ed,ed_to_total_ratio,pqe_to_ed_ratio,inpatient_ratio,provider_per_claim,ed_per_year,pqe_per_year,claims_per_year,days_since_last_claim,days_since_last_ed,days_since_last_pqe,utilization_trend,recent_to_early_ratio,recent_ed,consecutive_ed_years,has_diabetes,has_copd,has_chf,has_htn,has_asthma,has_ckd,comorbidity_count,multi_chronic,n_diagnoses,bice_boxerman,n_prescriptions,n_unique_drugs,polypharmacy,high_polypharmacy,rx_per_year,n_dme_claims,has_dme,n_hha_claims,has_hha,n_snf_claims,has_snf,n_hospice_claims,has_hospice,SEX_IDENT_CD,BENE_RACE_CD,AGE_AT_END_REF_YR,ESRD_IND,ENTLMT_RSN_ORIG,ENTLMT_RSN_CURR,BENE_HI_CVRAGE_TOT_MONS,BENE_SMI_CVRAGE_TOT_MONS,BENE_HMO_CVRAGE_TOT_MONS,DUAL_ELGBL_MONS,BENE_STATE_BUYIN_TOT_MONS,RTI_RACE_CD
-0.013700585,-0.03242454,-0.040461756,-0.019851001,-0.0014161108,-0.0019800654,-0.0005169686,-0.0039921836,-0.062377993,-0.010338218,-0.14706977,-0.05866846,-0.03187292,-0.003663969,-0.013856819,-0.019765725,-0.045180853,0.00089439895,-0.039469052,-0.039211396,-0.024694365,-0.0017916701,-0.0028232469,-0.022775223,-0.0002747465,-0.00095123466,-0.05415814,-0.40244564,0.007504756,0.059003044,0.001570955,-0.00121368,-0.021276997,-0.00941947,-0.02963875,-2.1212018e-05,-0.00029920466,-0.011313092,-0.019205699,0.00023332721,-0.00010446398,-2.2116697e-05,-0.0011397924,5.4155622e-05,-0.005205943,-0.0018285607,0.011154858,-0.016773887,-0.053870864,0.00013896837,0.016228868,0.0025650077,0.0,0.0,0.0,0.0,0.0,-0.0027114598
-0.029347576,-0.022236554,-0.0024489462,-0.0063830693,-0.00018107817,-0.0012278074,-0.00080885744,-0.0023885772,-0.055728186,-0.026261881,-0.11805096,-0.06273868,-0.008837899,-0.006268653,-0.017074807,-0.030333199,0.05184452,0.0010542723,-0.035469975,-0.007099011,-0.009525497,-0.0030427086,-0.001189486,0.004038425,1.1544682e-05,-0.0013479135,0.00567992,-0.4258244,0.0042286147,-0.2566124,-0.0062759575,-0.07781916,0.035607755,-0.004945487,-0.048877012,6.838396e-06,-6.797025e-05,-0.0041188356,-0.023413736,-0.004241045,-0.0004454099,-1.8414214e-05,-0.0032827237,4.9795024e-05,-0.0031962409,-0.0014831146,0.007899498,0.0004198888,0.0047214963,7.4976095e-05,0.0072693503,0.0018631462,0.0,0.0,0.0,0.0,0.0,-0.0008801252
-0.02367469,-0.0037903807,-0.0036371956,-0.017780988,-0.00034377474,-0.0016326404,-0.0011868441,-0.0065098954,-0.06511077,-0.022303449,-0.15703715,-0.06189624,-0.05089642,-0.0042007207,-0.017791845,-0.0070764106,-0.063022725,0.00090760685,-0.039780375,-0.020244788,-0.0071333665,-0.0026023819,-0.0026994736,0.0039045464,-0.0025001378,-0.001426666,0.009738446,-0.43154743,0.004901504,-0.27019778,-0.0050968383,0.0049295737,-0.04673484,-0.009508707,-0.068207905,9.84791e-06,-0.0013321742,-0.009124725,-0.017613243,-0.0044020363,-0.0001429795,-2.2116697e-05,-0.0033000624,5.227889e-05,-0.0053091752,-0.0021051068,-0.01039528,-0.0036064642,-0.023581162,0.00013627773,0.006176636,0.0024258115,0.0,0.0,0.0,0.0,0.0,-0.0008570114
0.013416835,-0.030501103,-0.010874472,-0.02152969,-0.0022544167,-0.0016202289,-0.00030993644,-0.0051423707,-0.06813692,-0.05567735,-0.16973951,-0.073481455,-0.027182622,-0.009189445,-0.016511107,-0.017832309,-0.022457493,-0.007403288,-0.042955607,-0.04710168,-0.023538975,-0.0020920802,-0.0050973943,0.0028376982,-4.3689135e-05,-0.0016434401,0.0031837248,-0.40056017,0.00359968,-0.20969976,-0.0010798674,-0.058651794,-0.049564354,-0.0045315344,-0.024336936,2.4406687e-05,-0.0005779344,-0.00037606817,-0.013479968,0.0012830563,-5.6189747e-05,-1.8414214e-05,-0.0036156834,4.8039168e-05,-0.009521975,-0.0030693426,-0.011375902,-0.004373063,-0.02349159,7.531746e-05,0.009499676,0.0032329825,0.0,0.0,0.0,0.0,0.0,-0.0013024413
-0.030814823,-0.030565841,0.0041751466,-0.007286308,-0.0067470903,-0.0014856149,-0.001169437,-0.006273355,-0.06126156,-0.018802758,-0.14154512,-0.05771531,-0.06767896,-0.003777034,-0.01859189,-0.0060476256,-0.040702865,0.00057965267,-0.03948953,-0.012526285,-0.026412336,-0.0034312494,-0.004148816,0.0034408318,-0.0014241235,-0.0017119109,0.006578896,-0.3953171,0.0028422447,-0.26468155,-0.003571026,-0.06534314,-0.028505782,-0.02827463,-0.07938948,6.621307e-06,-0.0005097317,-0.017647538,-0.015438357,-0.0044280468,-0.0002523627,-2.2116697e-05,-0.0033585967,4.6008718e-05,-0.004706711,-0.0017729943,-0.014689554,-0.01822798,0.0435579,7.4976095e-05,0.007852358,0.001854491,0.0,0.0,0.0,0.0,0.0,-0.0049910154
-0.031850133,-0.02144038,0.0013110053,-0.0012901473,-0.0003938071,-0.0013802398,-0.0014877107,-0.0034676716,-0.06393327,-0.012494556,-0.15820433,-0.058227785,-0.001352493,-0.0045273425,-0.01488174,-0.019548364,-0.023524798,0.00063006923,-0.042254545,-0.005430359,-0.021448627,-0.0026712278,-0.0007303558,0.0030766698,-0.001835322,-0.0014144419,0.004532532,-0.47389108,0.0036216613,-0.17436996,-0.009598152,-0.06805284,0.014376736,-0.023460917,-0.033523362,-2.1212018e-05,0.0010825649,-0.042645648,-0.023735799,-0.0028042672,-0.00019952259,-3.1204538e-05,-0.0042649778,5.2354626e-05,-0.004099193,-0.0019859418,-0.01496349,0.0001356437,-0.06068523,0.00011025648,-0.02065451,-0.0050448743,0.0,0.0,0.0,0.0,0.0,0.0007658722
-0.04927122,-0.0043113288,-0.049987737,-0.011175872,-0.00025598568,-0.0017261032,-0.0006916878,-0.002446929,-0.062282003,-0.024455195,-0.14242642,-0.06385437,-0.013285152,-0.0042035044,-0.017535916,-0.008131911,0.037990354,0.00043942954,-0.035618454,-0.009385459,-0.032107163,-0.0022827077,-0.0015638596,0.0027454274,-0.00029403914,-0.0010367467,0.0035462962,-0.47536272,0.0038804554,-0.16624251,-0.007928253,-0.03486632,-0.04861387,-0.0051801833,-0.049549047,2.4406687e-05,-0.0003882372,-0.0001825458,-0.008675658,6.967496e-05,-0.0002523627,-1.8414214e-05,-0.004062891,4.9534152e-05,-0.005653475,-0.001965975,-0.010342276,0.00095299224,-0.053538933,0.00011025648,-0.02012613,-0.003945713,0.0,0.0,0.0,0.0,0.0,-0.0021183144
-0.07094339,-0.01748282,-0.05184246,-0.013173995,-0.003125296,-0.002816684,-0.0010756645,-0.003684221,-0.05787735,-0.019081287,-0.1330882,-0.062392913,-0.082547195,-0.0032155532,-0.016323084,-0.005640131,-0.0122896815,0.0006352599,-0.040328898,-0.013810044,-0.03793836,-0.002897987,-0.0033414925,0.0027120926,-0.0008496603,-0.0010029067,-0.018064806,-0.36986807,0.003346747,-0.01788135,-0.009362698,-0.08540793,-0.023824094,-0.010312807,-0.052084543,9.84791e-06,-0.00013907746,-0.007769063,0.002950758,0.000643034,-0.0004454099,-2.2116697e-05,-0.002814534,5.439317e-05,0.019597515,0.0065840567,0.012921023,-0.0024939552,-0.08486153,0.00014449468,-0.031534173,-0.008444853,0.0,0.0,0.0,0.0,0.0,0.00011899298
-0.054608155,-0.009461374,-0.027112126,-0.005615407,-0.0004580887,-0.0051822495,-0.001174558,-0.0024952726,-0.061801907,-0.02413628,-0.14176574,-0.07052178,-0.003558467,-0.0027840089,-0.017650088,-0.00040807715,-0.040672623,0.001132804,-0.03646185,-0.020709258,-0.035129175,-0.0027589533,-0.001455721,0.002964632,-0.00080565433,-0.00095123466,0.003957043,-0.48034874,0.0037154781,-0.16645004,-0.010546507,-0.017263,-0.07199082,-0.009401252,-0.052112963,9.84791e-06,-0.00033751084,-0.005231619,0.023345578,0.00063902035,-0.00010446398,-3.1204538e-05,-0.003914125,6.279464e-05,-0.007069747,-0.0019548216,0.007694622,-0.00506242,-0.047298938,0.00010918038,-0.021552803,-0.0069303853,0.0,0.0,0.0,0.0,0.0,-0.0009641755
0.008159112,-0.05057729,-0.039833933,-0.023090515,-0.002734112,-0.0012142779,-0.000974353,-0.005768563,-0.064897545,-0.019885713,-0.12925433,-0.07687715,-0.0854619,0.009404556,-0.016177528,-0.031372838,-0.00031529772,-0.016110785,-0.042017326,-0.038172577,0.023268726,0.00345246,-0.005292752,-0.018113876,-0.00020461102,-0.00088726263,-0.012823396,-0.38834956,-0.021439504,0.054112945,-0.0022360852,-0.036374718,-0.020045286,-0.008243063,0.024903754,-3.5641548e-05,0.00070304144,-0.049178697,-0.032842744,-0.007620403,-4.8725895e-05,-1.4589201e-05,-0.0015038,4.1369105e-05,-0.009195825,-0.0026029912,-0.02069662,-0.010294295,0.024337968,-0.0050442456,0.007599423,-0.021405421,0.0,0.0,0.0,0.0,0.0,-0.0021994896
